CourseCode,CourseName,DepartmentID
EDMC1001,Algebra,1004
EDMC1002,Geometry,1004
EDME1103,Content and Pedagogy for Selected Topics in Mathematics,1004
EDPS1003,Psychological Issues in the Classroom,1004
EDTL1020,Introduction to Teaching and Learning,1004
EDCU2013,Introduction To Curriculum Studies,1004
EDEA2305,Action Research for School and Classroom Managers,1004
EDGC2010,Orientation to Guidance and Counselling,1004
EDHE2912,The Nature Of History,1004
EDLA2103,The Teaching Of Literature,1004
EDLA2106,The Language-Structure Content Of English Teaching,1004
EDLS2605,"Learner Processes, Teacher Processes & the Development of Literacy",1004
EDMC2201,Introductory Calculus,1004
EDMC2203,Analytical Geometry and Trigonometry,1004
EDMC2214,The Nature and Scope of Mathematics,1004
EDMC2216,Analysis & Teaching of Math,1004
EDME2006,Classroom Testing & Evaluation (Basic),1004
EDME2202,Probability & Statistics,1004
EDPS2003,Motivation and the Teacher,1004
EDRS2007,Research Design in Education,1004
EDSS2903,Enquiry Methods in Teaching Social Studies,1004
EDSS2904,Practice in Planning Learning Experiences for Social Studies,1004
EDTK2025,Introduction To Computer Technology in Education,1004
EDAR3808,Art and Drama in Education,1004
EDEA3304,Management Of Human Resources & Interpersonal Relations,1004
EDEA3306,School and Classroom Management A,1004
EDEA3308,Principles & Practices of School Finance,1004
EDEA3316,Fieldwork/Practicum (Educational Administration),1004
EDEA3320,The Study,1004
EDHE3905,Teaching History in Secondary Schools,1004
EDIT3818,Methodologies for Teaching Info Technology & Computer Science,1004
EDIT3822,"Instructional Website Design, Development & Integration into Curriculum",1004
EDLA3104,Literature for Children in the Primary School,1004
EDLA3106,Content and Pedagogy for CXC English Language A,1004
EDLA3109,Teaching the Structure of English,1004
EDLS3603,Advanced Study Of Assessment Of Literacy,1004
EDMA3206,Investigations and Problem Solving,1004
EDMC3201,Linear Algebra,1004
EDMC3204,Abstract Algebra,1004
EDRS3019,Report,1004
EDSC3410,Sociology of Science Teaching and Learning,1004
EDSC3417,Introduction To Secondary Science Practicals,1004
EDSS3903,Secondary Schools Social Studies Research and Selection,1004
EDSS3911,Teaching Geography in the Caribbean Classroom,1004
EDTK3004,Educational Technology,1004
EDTL3018,Culminating school-based experience: Clinical Practice,1004
EDTL3020,Pre-Practicum,1004
EDTL3021,Field Study,1004
EDME1103,Content and Pedagogy for Selected Topics in Mathematics,1004
EDTL1021,Planning for Teaching and Learning,1004
EDEA2304,Introduction To Educational Administration,1004
EDHE2908,Local and Community Studies,1004
EDIT3017,Issues in Information Technology,1004
EDIT3821,Educational Software Design and Development,1004
EDIT3823,Teaching in a Networked Environment,1004
EDIT3825,Assessing Information Technology,1004
EDLA2105,Language Structure Content Of English Teaching in the Caribbean,1004
EDLS2606,"Text, Analysis Of Discourse And The Acquisition Of Literacy",1004
EDLS2607,Research Perspectives in the Study of Literacy,1004
EDMC2213,Children Learning Mathematics,1004
EDME2204,Discrete Mathematics,1004
EDPH2024,Issues and Perspectives in Education,1004
EDSC2407,Teaching Methodologies in Science,1004
EDSE2712,Introduction to the Learner in Difficulty,1004
EDSS2906,Basic Geographic Skills for the Social Studies Teacher,1004
EDEA3305,Special Problems in School Administration,1004
EDEA3307,School and Classroom Management B,1004
EDEA3320,The Study,1004
EDHE3904,Assessment of Achievement in History,1004
EDHE3908,Selecting Methods & Resources for Instruction in Caribbean and World History,1004
EDLA3103,The Teaching of English Literature in the Secondary School,1004
EDLA3106,Content and Pedagogy for CXC English Language A,1004
EDLA3110,Writing in the Secondary School,1004
EDLA3111,Teaching Caribbean Poetry,1004
EDLS3603,Advanced Study Of Assessment Of Literacy,1004
EDLS3612,Writing as Literacy Development in the Primary School,1004
EDMC3020,Calculus II,1004
EDMC3202,Assessing Mathematics Learning,1004
EDME3006,Classroom Testing and Evaluation Advance,1004
EDME3205,Teaching Mathematics in Grades 10 and 11,1004
EDRS3008,Research Methods (II),1004
EDRS3019,Report,1004
EDSC3403,Assessment in Science Teaching,1004
EDSC3408,Environmental Education,1004
EDSC3411,Science Teaching and the History of Science,1004
EDSS3908,The Role Of Soc. Studies/Geo. In Secondary Education,1004
COMP1126,Intro to Computing I,1000
COMP1127,Intro to Computing II,1000
COMP1161,Object-oriented Programming,1000
COMP1210,Math for Computing,1000
COMP1220,Computing and Society,1000
COMP2201,Discrete Mathematics for Computer Science,1000
COMP2211,Analysis of Algorithms,1000
COMP2120,Digital Logic Design,1000
COMP2140,Software Engineering,1000
COMP2171,Object Technology,1000
COMP2190,Net-Centric Computing,1000
COMP2340,Computer Organisation,1000
COMP3101,Operating Systems,1000
COMP3220,Introduction to Artificial Intelligence,1000
COMP3161,Database Management Systems,1000
COMP3652,Language Processors,1000
COMP3702,Theory of Computation,1000
COMP3801,Real-Time Embedded Systems,1000
COMP3901,Group Project,1000
COMP3911,Internship in Computing I,1000
COMP3912,Internship in Computing II,1000
INFO3105,Computer Systems Administration,1000
INFO3110,Information Systems in Organisations,1000
INFO3155,Computer & Network Security for IT,1000
COMP3161,Database Management Systems,1000
INFO3170,User Interface Design for IT,1000
