CourseCode,NumOfAssignments
EDMC1001,5
EDMC1002,4
EDME1103,3
EDPS1003,4
EDTL1020,5
EDCU2013,2
EDEA2305,3
EDGC2010,4
EDHE2912,4
EDLA2103,3
EDLA2106,3
EDLS2605,4
EDMC2201,4
EDMC2203,2
EDMC2214,3
EDMC2216,2
EDME2006,5
EDME2202,5
EDPS2003,5
EDRS2007,2
EDSS2903,4
EDSS2904,5
EDTK2025,2
EDAR3808,2
EDEA3304,4
EDEA3306,4
EDEA3308,4
EDEA3316,4
EDEA3320,4
EDHE3905,5
EDIT3818,3
EDIT3822,2
EDLA3104,5
EDLA3106,2
EDLA3109,2
EDLS3603,3
EDMA3206,3
EDMC3201,2
EDMC3204,3
EDRS3019,4
EDSC3410,4
EDSC3417,3
EDSS3903,4
EDSS3911,2
EDTK3004,4
EDTL3018,2
EDTL3020,5
EDTL3021,2
PHYS3500,3
EDTL1021,2
EDEA2304,5
EDHE2908,4
EDIT3017,3
EDIT3821,4
EDIT3823,4
EDIT3825,2
EDLA2105,3
EDLS2606,2
EDLS2607,5
EDMC2213,5
EDME2204,3
EDPH2024,5
EDSC2407,2
EDSE2712,2
EDSS2906,5
EDEA3305,5
EDEA3307,4
PHYS3562,2
EDHE3904,5
EDHE3908,4
EDLA3103,5
PHYS3565,3
EDLA3110,5
EDLA3111,2
PHYS3300,4
EDLS3612,4
EDMC3020,3
EDMC3202,4
EDME3006,3
EDME3205,4
EDRS3008,2
ELET3450,2
EDSC3403,5
EDSC3408,3
EDSC3411,4
EDSS3908,2
COMP1126,3
COMP1127,3
COMP1161,4
COMP1210,4
COMP1220,2
COMP2201,4
COMP2211,4
COMP2120,5
COMP2140,2
COMP2171,4
COMP2190,3
COMP2340,2
COMP3101,3
COMP3220,3
COMP3161,4
COMP3652,4
COMP3702,2
COMP3801,3
COMP3901,4
COMP3911,2
COMP3912,5
INFO3105,2
INFO3110,2
INFO3155,3
PHYS3400,4
INFO3170,5
INFO3180,2
INFO3435,5
SWEN2165,4
SWEN3130,5
SWEN3145,4
SWEN3165,2
SWEN3185,2
SWEN3920,5
MATH6623,3
STAT6632,5
STAT6630,4
STAT6631,5
PHYS3701,5
MATH6629,2
MATH6633,2
MATH6634,4
MATH6628,4
MATH6622,4
MATH6635,5
ECON1000,3
ECON1003,4
ECON1004,5
ECON1005,4
ECON1012,4
ECON2000,3
ECON2001,3
ECON2002,4
ECON2003,2
ECON2005,2
ECON2008,5
ECON2009,5
ECON2010,5
ECON2014,2
ECON2015,3
ECON2016,2
ECON2020,4
ECON2023,2
ECON2024,5
ECON2025,4
ECON3003,3
ECON3005,4
ECON3006,5
ECON3007,3
ECON3008,3
ECON3010,4
ECON3011,2
ECON3016,5
ECON3030,4
ECON3031,5
ECON3032,3
ECON3034,2
ECON3037,2
ECON3040,4
ECON3049,3
ECON3050,5
ECON3051,4
ECON3072,3
ECON3073,2
MATH1141,2
MATH1142,2
MATH1151,5
MATH1152,3
MATH2401,2
MATH2410,5
MATH2404,5
MATH2411,4
MATH2403,3
MATH2420,4
MATH3155,5
MATH3412,3
MATH3402,4
MATH3423,3
STAT3001,2
MATH3403,2
MATH3401,2
MATH3411,2
MATH3404,2
STAT3002,3
MATH3414,2
MATH3421,5
MATH3422,2
MATH3424,2
ECNG1000,2
PHYS1411,3
PHYS1412,5
PHYS1421,4
PHYS1422,2
ELNG1101,3
ELET1500,5
MATH1185,3
ELET1405,4
ECNG1012,4
ECNG1009,2
MDPH6160,4
MDPH6150,3
MDPH6140,4
MDPH6130,5
MDPH6120,3
MDPH6110,2
MDPH6280,3
MDPH6270,3
MDPH6260,5
MDPH6190,3
MDPH6180,2
MDPH6170,2
MDPH6135,2
MDPH6115,3
MDPH6215,2
MDPH6230,3
MDPH6240,5
PHYS2396,2
ELET2405,5
ELET2415,4
ELET2460,2
ELET2470,4
ELET2480,5
ELET2410,4
ELET2530,3
ELET2450,5
ELET2420,5
PHYS2561,3
PHYS2671,4
PHYS2296,3
PHYS2200,5
PHYS2386,3
PHYS2351,5
PHYS2300,3
PHYS2600,3
PHYS2500,5
ELET2210,2
ELET2570,5
PHYS2000,4
PHYS2701,4
PHYS3000,3
ELET3211,5
PHYS3200,4
