LecturerID,CourseID
300000000,EDMC1001
300000001,PHYS3400
300000001,PHYS3300
300000001,ECON2010
300000001,EDHE2912
300000001,EDMC1002
300000002,MDPH6130
300000002,ECON2002
300000002,MATH1151
300000002,EDME1103
300000003,COMP1220
300000003,PHYS3000
300000003,EDTL3021
300000003,ECNG1000
300000003,EDPS1003
300000004,EDTL1020
300000005,EDCU2013
300000006,ECON3006
300000006,EDEA2305
300000007,ECON3040
300000007,EDGC2010
300000008,PHYS3500
300000008,EDSC3403
300000008,ECON2008
300000008,MDPH6270
300000008,EDHE2912
300000009,EDLA2103
300000010,MDPH6240
300000010,ELET2405
300000010,EDTL1021
300000010,MATH1152
300000010,EDLA2106
300000011,ELET2415
300000011,EDLS2605
300000012,MATH2420
300000012,ELET2450
300000012,EDMC2201
300000013,EDMC2203
300000014,MATH6635
300000014,EDSC3411
300000014,PHYS2300
300000014,EDSS2906
300000014,EDMC2214
300000015,MATH3421
300000015,STAT6632
300000015,EDME2006
300000015,ECON1003
300000015,EDMC2216
300000016,PHYS2300
300000016,EDIT3017
300000016,ELET2470
300000016,EDEA3308
300000016,EDME2006
300000017,ECON2023
300000017,MATH3403
300000017,COMP3161
300000017,PHYS3500
300000017,EDME2202
300000018,EDEA3307
300000018,EDSC3410
300000018,ELET2415
300000018,COMP3101
300000018,EDPS2003
300000019,ECON3003
300000019,MATH3422
300000019,EDRS2007
300000020,EDSS2903
300000021,EDIT3821
300000021,COMP3161
300000021,MATH3421
300000021,EDSS2904
300000022,EDRS2007
300000022,MDPH6120
300000022,EDHE2912
300000022,EDTK2025
300000023,EDAR3808
300000024,COMP3220
300000024,EDCU2013
300000024,EDRS3008
300000024,EDEA3304
300000025,COMP1127
300000025,MATH2404
300000025,ECON2002
300000025,EDEA3306
300000026,SWEN2165
300000026,EDEA3308
300000027,EDSC3417
300000027,EDPH2024
300000027,MDPH6280
300000027,EDEA3316
300000028,MATH3421
300000028,EDHE2912
300000028,COMP3702
300000028,EDEA3320
300000029,EDPS2003
300000029,EDEA3308
300000029,EDTL3020
300000029,STAT3002
300000029,EDHE3905
300000030,EDLS2605
300000030,EDIT3818
300000031,EDIT3822
300000032,PHYS2386
300000032,EDLA3104
300000033,MATH3422
300000033,EDLA3106
300000034,EDLA3109
300000035,EDMC3020
300000035,COMP1161
300000035,EDLS3603
300000036,ECON3072
300000036,EDSS3911
300000036,EDMA3206
300000037,COMP3801
300000037,EDMC3020
300000037,EDMC3201
300000038,MATH3421
300000038,MDPH6190
300000038,ELNG1101
300000038,EDLS3603
300000038,EDMC3204
300000039,INFO3105
300000039,PHYS1411
300000039,MATH2411
300000039,EDRS3019
300000040,MATH3401
300000040,EDMC3202
300000040,ECON1012
300000040,EDSC3410
300000041,EDSC3417
300000042,ELET2570
300000042,COMP1126
300000042,EDHE2908
300000042,EDME3006
300000042,EDSS3903
300000043,EDSS3911
300000044,MATH3412
300000044,ECNG1012
300000044,ELET2410
300000044,EDTK3004
300000045,ECON2001
300000045,EDTL3018
300000046,ECON3032
300000046,ECNG1009
300000046,ELET2405
300000046,EDTL3020
300000047,ELET2415
300000047,ENGR1000
300000047,ECON1000
300000047,EDTL3021
300000048,ECSE1102
300000048,EDPS2003
300000048,COMP3220
300000048,COMP3801
300000048,PHYS3500
300000049,MATH6634
300000049,EDTL1021
300000050,MDPH6130
300000050,EDSC2407
300000050,EDEA2304
300000051,EDME3006
300000051,MATH3402
300000051,COMP3911
300000051,EDEA3304
300000051,EDHE2908
300000052,EDME2204
300000052,EDIT3017
300000053,EDRS3008
300000053,EDLA3103
300000053,ECON2005
300000053,EDIT3821
300000054,ECON3006
300000054,COMP3101
300000054,EDIT3823
300000055,ELET2405
300000055,EDSS3911
300000055,PHYS2386
300000055,EDIT3825
300000056,MDPH6110
300000056,MATH1185
300000056,EDLA2105
300000057,COMP1126
300000057,EDLS2606
300000058,ECON3006
300000058,EDMC2214
300000058,EDLS2607
300000059,EDPH2024
300000059,COMP3911
300000059,MATH2401
300000059,MATH3155
300000059,EDMC2213
300000060,STAT6631
300000060,EDME2204
300000061,EDPH2024
300000062,EDSC2407
300000063,EDSE2712
300000064,EDLS2607
300000064,COMP2120
300000064,EDSS2906
300000065,EDSC3408
300000065,EDEA3316
300000065,EDLA3109
300000065,MATH2401
300000065,EDEA3305
300000066,EDEA3307
300000067,PHYS3562
300000068,MATH6634
300000068,EDHE3904
300000069,PHYS1421
300000069,PHYS3000
300000069,EDHE3908
300000070,MATH3404
300000070,EDLA3103
300000071,MATH2411
300000071,ELET3450
